claim,population,n,median,p25,p75,mean,min,max,players,intl,overall_pct,median_program_pct,pct_programs_over_30
soccer roster size,"All divisions & genders, 2025-26",2237,29,26.0,33.0,30.0,12,82,,,,,
volleyball roster size,"All divisions & genders, 2025-26",1699,17,15.0,19.0,17.5,12,44,,,,,
lacrosse roster size,"All divisions & genders, 2025-26",980,31.0,22.0,40.0,32.1,12,72,,,,,
wrestling roster size,"All divisions & genders, 2025-26",519,28,21.0,35.0,28.9,12,70,,,,,
"Roster size, all RosterWise sports","All divisions & genders, 2025-26",5435,26,18.0,32.0,26.4,12,82,,,,,
Seniors (SR + RS-SR) per roster,"All sports, 2025-26",5435,4,2.0,7.0,4.8,0,22,,,,,
Seniors + graduate students per roster,"All sports, 2025-26",5435,5,3.0,7.0,5.4,0,24,,,,,
D1 men's soccer roster size,"D1, 2025-26",213,28,27.0,30.0,29.1,15,58,,,,,
Men's soccer international share,"D1, 2025-26",213,,,,,0.0,92.9,6203,2099,33.8,33.3,56.3
Men's soccer international share,"D2, 2025-26",202,,,,,0.0,100.0,7151,2670,37.3,38.1,63.9
Men's soccer international share,"D3, 2025-26",406,,,,,0.0,87.0,12949,1448,11.2,5.7,8.6
Men's soccer international share,"NAIA, 2025-26",191,,,,,0.0,100.0,6814,3287,48.2,46.4,69.6
Men's soccer international share,"all, 2025-26",1014,,,,,0.0,100.0,33177,9545,28.8,21.5,41.2
Women's soccer international share,"D1, 2025-26",349,,,,,0.0,77.8,9683,1203,12.4,9.1,10.9
Women's soccer international share,"D2, 2025-26",260,,,,,0.0,100.0,7708,870,11.3,5.6,11.2
Women's soccer international share,"D3, 2025-26",415,,,,,0.0,54.2,11318,242,2.1,0.0,0.2
Women's soccer international share,"NAIA, 2025-26",197,,,,,0.0,100.0,5154,1029,20.0,11.1,25.4
Women's soccer international share,"all, 2025-26",1223,,,,,0.0,100.0,33901,3363,9.9,3.8,9.7
